what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1351016210799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016210811
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351016211620
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1351016211946
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1351016211989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016214291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016253810
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351016255000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016256192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1351016281003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016281016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016286204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016292925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016303367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016304590
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016304721
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1351016305270
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1351016305271
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1351016305272
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1351016305286
